Merchant Portal Login Suite,Empty Login Form,PASSED,
Merchant Portal Login Suite,Ivalid Login Form,FAILED,Either logged in with wrong info or error message is wrong
Merchant Portal Login Suite,Valid Login Form,PASSED,
Merchant Portal Login Suite,Change Ad Credit,PASSED,
Merchant Portal Login Suite,Change Cashback Rate,PASSED,
Merchant Portal Login Suite,Added new shop: is name properly displayed?,PASSED,
Merchant Portal Login Suite,Added new shop: is type properly displayed?,PASSED,
Merchant Portal Login Suite,Added new shop: is address properly displayed?,PASSED,
Merchant Portal Login Suite,Added new shop: is instagram handle properly displayed?,PASSED,
Merchant Portal Login Suite,Updated shop: is name properly displayed?,PASSED,
Merchant Portal Login Suite,Updated shop: is type properly displayed?,PASSED,
Merchant Portal Login Suite,Updated shop: is address properly displayed?,PASSED,
Merchant Portal Login Suite,Updated shop: is instagram handle properly displayed?,PASSED,
Merchant Portal Login Suite,Delete shop,PASSED,
Merchant Portal Login Suite,Generate QR code for Test Store,PASSED,
Merchant Portal Login Suite,Add item to list,PASSED,
Merchant Portal Login Suite,Increment item quantity,PASSED,
Merchant Portal Login Suite,Decrement item quantity,PASSED,
Merchant Portal Login Suite,Delete item,PASSED,
